@@,item,name,party,partylabel
+++,,Ronald Ndava,Q1910161,ZANU-PF
+++,,Samson Mukanduri,Q1910161,ZANU-PF
+++,,Samuel Nkomo,Q1146616,MDC-T
+++,Q7412813,Samuel Undenge,Q1910161,ZANU-PF
+++,Q7446983,Seiso Moyo,Q1146616,MDC-T
+++,,Settlement Chikwinya,Q1146616,MDC-T
+++,,Shaddy Sai,Q1910161,ZANU-PF
+++,,Shepherd Madamombe,Q1146616,MDC-T
+++,,Shuah Mudiwa,Q1146616,MDC-T
+++,Q7507257,Sibonile Nyamudeza,Q1146616,MDC-T
+++,,Siyabonga Ncube,Q15980776,MDC-M
+++,Q2112402,Stan Mudenge,Q1910161,ZANU-PF
+++,,Tangwara Matimba,Q1146616,MDC-T
+++,,Tapiwa Mashakada,Q1146616,MDC-T
+++,Q7410395,Tendai Biti,Q1146616,MDC-T
+++,,Thabitha Khumalo,Q1146616,MDC-T
+++,Q7710066,Thamsanqa Mahlangu,Q1146616,MDC-T
+++,,Thandeko Mnkandla,Q15980776,MDC-M
+++,Q7782879,Theresa Makoni,Q1146616,MDC-T
+++,Q9358456,Thokozani Khuphe,Q1146616,MDC-T
+++,,Tongai Matutu,Q1146616,MDC-T
+++,,Tranos Huruva,Q1910161,ZANU-PF
+++,,Trevor Saruwaka,Q1146616,MDC-T
+++,Q7965696,Walter Mzembi,Q1910161,ZANU-PF
+++,,Webber Chinyadza,Q1146616,MDC-T
+++,,Willard Chimbetete,Q1146616,MDC-T
+++,,William Mutomba,Q1910161,ZANU-PF
+++,,William Mutomba,Q1910161,ZANU-PF
+++,,Willis Madzimure,Q1146616,MDC-T
