item,name,party,partyLabel
,Reuben Chikudo,Q48800088,MDC Alliance
,Energy Mutodi,Q1910161,ZANU–PF
,Caston Matewu,Q48800088,MDC Alliance
,Patrick Chidakwa,Q1910161,ZANU–PF
,Spiwe Mukunyaidze,Q1910161,ZANU–PF
Q97154086,Daniel Garwe,Q1910161,ZANU–PF
,Biggie Joel Matiza,Q1910161,ZANU–PF
,Jonah Nyikadzino Sewera,Q1910161,ZANU–PF
,Richard Musiyiwa,Q1910161,ZANU–PF
Q93452160,Mabel Chinomona,Q1910161,ZANU–PF
,Hebert Shumbamhini,Q1910161,ZANU–PF
,Magna Mudyiwa,Q1910161,ZANU–PF
,Tobias Kashambe Munyaradzi,Q1910161,ZANU–PF
,Tichaona Karimazondo,Q1910161,ZANU–PF
,David Musabayana,Q1910161,ZANU–PF
,Tinoda Machakarika,Q1910161,ZANU–PF
,Simbaneuta Mudarikwa,Q1910161,ZANU–PF
,Reselyn Roseweater Makoni,Q1910161,ZANU–PF
,Brightness Mangora,Q48800088,MDC Alliance
,Tatenda Mavetera,Q1910161,ZANU–PF
,Spiwe Muchaneta Muchenje,Q48800088,MDC Alliance
,Nyarai Tsuura,Q1910161,ZANU–PF
,Lilian Zimura,Q1910161,ZANU–PF
,Andrew Nkani,Q1910161,ZANU–PF
Q7978955,Webster Shamu,Q1910161,ZANU–PF
,Dexter Nduna,Q1910161,ZANU–PF
,Peter Mataruse,Q48800088,MDC Alliance
,Doubt Ndiweni,Q1910161,ZANU–PF
,Ngoni Masenda,Q1910161,ZANU–PF
,Mary Mliswa,Q1910161,ZANU–PF
,Ability Gandawa,Q1910161,ZANU–PF
,Muchineripi Chinyanganya,Q48800088,MDC Alliance
Q106074124,John Houghton,Q48800088,MDC Alliance
,Cecil Kashiri,Q1910161,ZANU–PF
,Kindness Paradza,Q1910161,ZANU–PF
,Precious Chinhamo Masango,Q1910161,ZANU–PF
,Freddy Kapuya,Q1910161,ZANU–PF
,Tavengwa Mukuhlani,Q1910161,ZANU–PF
Q94973458,Vangelis Haritatos,Q1910161,ZANU–PF
,Temba Mliswa,Q327591,Independent
,Polite Kambamwa,Q1910161,ZANU–PF
,Tawanda Tungamirayi,Q1910161,ZANU–PF
,Marian Chombo,Q1910161,ZANU–PF
Q7185645,Phillip Chiyangwa,Q1910161,ZANU–PF
Q85678984,Ziyambi Ziyambi,Q1910161,ZANU–PF
,Consilia Chinanzvavana,Q48800088,MDC Alliance
,Goodluck Kwaramba,Q1910161,ZANU–PF
,Senzeni Mafuta,Q48800088,MDC Alliance
,Jennifer Mhlanga,Q1910161,ZANU–PF
,Christina Nyere,Q1910161,ZANU–PF
,Josephine Shava,Q1910161,ZANU–PF
,Johnson Madhuku,Q1910161,ZANU–PF
,Josiah Sithole,Q1910161,ZANU–PF
,Elias Musakwa,Q1910161,ZANU–PF
,Denford Masiya,Q1910161,ZANU–PF
,Royi Bhilla,Q1910161,ZANU–PF
,Killion Kalisto Gwanetsa,Q1910161,ZANU–PF
,Augustine Dumo Musikavanhu,Q1910161,ZANU–PF
,Ephraim Gwanongodza,Q1910161,ZANU–PF
,Mathias Tongofa,Q1910161,ZANU–PF
,Killer Zivhu,Q1910161,ZANU–PF
,Wiston Chitando,Q1910161,ZANU–PF
,Berta Chikwama,Q1910161,ZANU–PF
,Yeukai Simbanegavi,Q1910161,ZANU–PF
,Pupurai Togarepi,Q1910161,ZANU–PF
,John Paradza,Q1910161,ZANU–PF
,Edmond Mhere,Q1910161,ZANU–PF
,Davison Marapira,Q1910161,ZANU–PF
,Claudious Maronge,Q1910161,ZANU–PF
,Jacob Nyokanhete,Q48800088,MDC Alliance
,Ezra Ruvai Chadzamira,Q1910161,ZANU–PF
,Omar Joosbi,Q1910161,ZANU–PF
,Priscilla Moyo,Q1910161,ZANU–PF
,Davison Svuure,Q1910161,ZANU–PF
,Clemence Chiduwa,Q1910161,ZANU–PF
,Robson Mavenyengwa,Q1910161,ZANU–PF
,Ophias Murambiwa,Q1910161,ZANU–PF
,Prince Dubeko Sibanda,Q48800088,MDC Alliance
Q6213465,Joel Gabuza,Q48800088,MDC Alliance
,Sonny Key Mguni,Q1910161,ZANU–PF
Q5218173,Daniel Molokela,Q48800088,MDC Alliance
,Tose Sansole,Q48800088,MDC Alliance
,Godfrey Dube,Q48800088,MDC Alliance
Q63190278,Sithembile Gumbo,Q1910161,ZANU–PF
,Martin Khumalo,Q1910161,ZANU–PF
Q16733535,Sithembiso Nyoni,Q1910161,ZANU–PF
,Stars Mathe,Q1910161,ZANU–PF
,Sibangumuzi Khumalo,Q1910161,ZANU–PF
,Zenzo Sibanda,Q1910161,ZANU–PF
,Richard Moyo,Q1910161,ZANU–PF
,Sibusisiwe Bhudha,Q48800088,MDC Alliance
,Ruth Labode,Q48800088,MDC Alliance
,Elizabeth Masuku,Q1910161,ZANU–PF
,Male Mukomo,Q1910161,ZANU–PF
,Molly Mkandla,Q1910161,ZANU–PF
,Francisca Ncube,Q48800088,MDC Alliance
,Albert Nguluvhe,Q1910161,ZANU–PF
,Ruth Mavhungu Maboyi,Q1910161,ZANU–PF
Q85115570,Nqobizitha Ndlovu,Q1910161,ZANU–PF
,Dingumuzi Phuti,Q1910161,ZANU–PF
,Patrick Dube,Q48800088,MDC Alliance
,Madodana Sibanda,Q1910161,ZANU–PF
,Abedinico Ncube,Q1910161,ZANU–PF
,Farai Taruvinga,Q1910161,ZANU–PF
,Spare Sithole,Q1910161,ZANU–PF
Q29588993,Obedingwa Mguni,Q1910161,ZANU–PF
,Edgar Moyo,Q1910161,ZANU–PF
,Soul Ncube,Q1910161,ZANU–PF
,Levi Mayihlome,Q1910161,ZANU–PF
,Barbara Rwodzi,Q1910161,ZANU–PF
,Prosper Machando,Q1910161,ZANU–PF
,Livingstone Chimina,Q48800088,MDC Alliance
,Victor Matemadanda,Q1910161,ZANU–PF
,Torerayi Moyo,Q1910161,ZANU–PF
,Stephen Ngwenya,Q1910161,ZANU–PF
,Leonard Chikomba,Q1910161,ZANU–PF
Q98112108,Owen Ncube,Q1910161,ZANU–PF
,Tawanda Karikoga,Q1910161,ZANU–PF
,Mayor Justice Wadyajena,Q1910161,ZANU–PF
Q85678901,Paul Mavima,Q1910161,ZANU–PF
,Gorden Chanda,Q1910161,ZANU–PF
,Brian Dube,Q48800088,MDC Alliance
Q97816798,Masango Matambanadzo,Q56276643,NPF
,Marko Raidza,Q1910161,ZANU–PF
,Tafanana Zhou,Q1910161,ZANU–PF
,Alum Mpofu,Q1910161,ZANU–PF
Q6276249,Joram Gumbo,Q1910161,ZANU–PF
,Settlement Chikwinya,Q48800088,MDC Alliance
,Amos Chibaya,Q48800088,MDC Alliance
,Lloyd Mukapiko,Q48800088,MDC Alliance
,Robson Ronald Nyathi,Q1910161,ZANU–PF
,Edmond Mkaratigwa,Q1910161,ZANU–PF
,Mthokozisi Manoki Mpofu,Q1910161,ZANU–PF
,Omega Sibanda,Q1910161,ZANU–PF
,Edmore Samambwa,Q1910161,ZANU–PF
,Dumezweni Mawite,Q1910161,ZANU–PF
,Cuthbert Mpame,Q1910161,ZANU–PF
,Memory Bodhiya,Q48800088,MDC Alliance
,Catherine Gozho,Q48800088,MDC Alliance
,Colletta Mutambisi,Q1910161,ZANU–PF
,Variyeti Nhari,Q1910161,ZANU–PF
,Elina Shirichena,Q1910161,ZANU–PF
,Perseverance Zhou,Q1910161,ZANU–PF
